"DIAG","DIAG_DESC","DIAG_C","DIAG_5"
1.00,"CHOLERA D/T VIB CHOLERAE","001.0","0010"
1.10,"CHOLERA D/T VIB EL TOR","001.1","0011"
1.90,"CHOLERA NOS","001.9","0019"
2.00,"TYPHOID FEVER","002.0","0020"
2.10,"PARATYPHOID FEVER A","002.1","0021"
2.20,"PARATYPHOID FEVER B","002.2","0022"
2.30,"PARATYPHOID FEVER C","002.3","0023"
2.90,"PARATYPHOID FEVER NOS","002.9","0029"
3.00,"SALMONELLA ENTERITIS","003.0","0030"
3.10,"SALMONELLA SEPTICEMIA","003.1","0031"
3.20,"LOCAL SALMONELLA INF NOS","003.20","00320"
3.21,"SALMONELLA MENINGITIS","003.21","00321"
3.22,"SALMONELLA PNEUMONIA","003.22","00322"
3.23,"SALMONELLA ARTHRITIS","003.23","00323"
3.24,"SALMONELLA OSTEOMYELITIS","003.24","00324"
3.29,"LOCAL SALMONELLA INF NEC","003.29","00329"
3.80,"SALMONELLA INFECTION NEC","003.8","0038"
3.90,"SALMONELLA INFECTION NOS","003.9","0039"
4.00,"SHIGELLA DYSENTERIAE","004.0","0040"
4.10,"SHIGELLA FLEXNERI","004.1","0041"
4.20,"SHIGELLA BOYDII","004.2","0042"
4.30,"SHIGELLA SONNEI","004.3","0043"
4.80,"SHIGELLA INFECTION NEC","004.8","0048"
4.90,"SHIGELLOSIS NOS","004.9","0049"
5.00,"STAPH FOOD POISONING","005.0","0050"
5.10,"BOTULISM","005.1","0051"
5.20,"FOOD POIS D/T C. PERFRIN","005.2","0052"
5.30,"FOOD POIS: CLOSTRID NEC","005.3","0053"
5.40,"FOOD POIS: V. PARAHAEM","005.4","0054"
5.80,"BACT FOOD POISONING NEC","005.8","0058"
5.90,"FOOD POISONING NOS","005.9","0059"
6.00,"AC AMEBIASIS W/O ABSCESS","006.0","0060"
6.10,"CHR AMEBIASIS W/O ABSCES","006.1","0061"
6.20,"AMEBIC NONDYSENT COLITIS","006.2","0062"
6.30,"AMEBIC LIVER ABSCESS","006.3","0063"
6.40,"AMEBIC LUNG ABSCESS","006.4","0064"
6.50,"AMEBIC BRAIN ABSCESS","006.5","0065"
6.60,"AMEBIC SKIN ULCERATION","006.6","0066"
6.80,"AMEBIC INFECTION NEC","006.8","0068"
6.90,"AMEBIASIS NOS","006.9","0069"
7.00,"BALANTIDIASIS","007.0","0070"
7.10,"GIARDIASIS","007.1","0071"
7.20,"COCCIDIOSIS","007.2","0072"
7.30,"INTEST TRICHOMONIASIS","007.3","0073"
7.80,"PROTOZOAL INTEST DIS NEC","007.8","0078"
7.90,"PROTOZOAL INTEST DIS NOS","007.9","0079"
8.00,"ENTERITIS-E. COLI NOS","008.00","00800"
8.01,"ENTERIT-ENTERPATH E.COLI","008.01","00801"
8.02,"ENTERIT-ENTEROTOX E.COLI","008.02","00802"
8.03,"ENTERIT-ENTERINVS E.COLI","008.03","00803"
8.04,"ENTERIT-ENTERHEMO E.COLI","008.04","00804"
8.09,"ENTERITIS-E. COLI NEC","008.09","00809"
8.10,"ARIZONA ENTERITIS","008.1","0081"
8.20,"AEROBACTER ENTERITIS","008.2","0082"
8.30,"PROTEUS ENTERITIS","008.3","0083"
8.41,"STAPHYLOCOCC ENTERITIS","008.41","00841"
8.42,"PSEUDOMONAS ENTERITIS","008.42","00842"
8.43,"CAMPYLOBACTER ENTERITIS","008.43","00843"
8.44,"Y.ENTEROCOLITICA ENTERIT","008.44","00844"
8.45,"C. DIFFICILE ENTERITIS","008.45","00845"
8.46,"ENTERITIS-ANAEROBE NEC","008.46","00846"
8.47,"ENTERIT-GRM NEG BACT NEC","008.47","00847"
8.49,"BACTERIAL ENTERITIS NEC","008.49","00849"
8.50,"BACTERIAL ENTERITIS NOS","008.5","0085"
8.61,"ROTAVIRUS ENTERITIS","008.61","00861"
8.62,"ADENOVIRUS ENTERITIS","008.62","00862"
8.63,"NORWALK VIRUS ENTERITIS","008.63","00863"
8.64,"ENTERITIS-SRV NEC","008.64","00864"
8.65,"CALCIVIRUS ENTERITIS","008.65","00865"
8.66,"ASTROVIRUS ENTERITIS","008.66","00866"
8.67,"ENTERIT-ENTEROVIRUS NEC","008.67","00867"
8.69,"VIRAL ENTERITIS NEC","008.69","00869"
8.80,"VIRAL ENTERITIS NOS","008.8","0088"
